lonnew,latnew
102.2402,31.8934
103.0001,29.9816
103.0013,29.9899
103.0109,29.9834
103.613,31.0283
103.7506,29.6007
103.7627,29.5844
103.8416,30.0874
103.8986,30.0506
104.079,30.5706
104.1113889,30.63
104.176,30.6872
104.3539,31.1108
104.3883,31.1333
104.4053,31.1167
104.4219,31.1208
104.5761,28.71583
104.6061,28.7867
104.6289,30.1377
104.6294,30.1259
104.6417,28.76389
104.6469,30.1142
104.6617,30.1366
104.6717,31.4656
104.7283,31.5072
104.7536,31.4539
104.7547,29.3628
104.7692,29.3411
104.7778,31.4747
105.0653,29.5817
105.0717,29.5947
105.4306,28.9583
105.4322,28.8558
105.4322,28.8833
105.4436,28.9026
105.5956,30.475
105.8153,32.4246
105.8242,32.4429
105.8624,32.4285
106.0642,30.7636
106.0789,30.8023
106.1031,30.8217
106.1064,30.7856
106.1087,30.8388
106.296,29.5983
106.54,29.5186
106.617,29.7125
106.626,29.7228
106.634,29.4892
106.6388,30.4551
106.65,29.6219
107.0708,34.3017
107.1586,34.3708
107.1906,34.3672
107.4611,31.2058
107.4967,31.2108
107.5069,31.1956
107.525,31.215
107.6364,35.7067
108.6761,34.3181
108.7197,34.3956
108.882,34.2749
108.883,34.2303
108.906,34.1546
108.935,34.3474
108.94,34.2324
108.954,34.2713
108.9589,34.8731
108.985,34.1978
108.993,34.2629
109.0311,32.6778
109.06,34.2572
109.0656,35.0994
109.0697,35.0697
109.1794,27.7231
109.1916,27.7297
109.2,34.6575
109.2186,34.3731
109.4131,36.6275
109.4266,34.5021
109.4689,30.2819
109.4761,36.6028
109.4824,36.5767
109.5039,30.2989
109.5049,34.5004
109.5056,36.6106
109.5293,34.5101
109.6958,28.2675
109.7289,38.2839
109.7336,38.2478
109.7414,38.3344
109.7456,38.2911
109.9333,27.5733
109.9453,27.5444
109.9792,27.5342
110.4697,29.1242
110.5594,29.3547
110.78,32.6494
110.8839,32.5714
110.9678,35.0308
110.9956,35.0147
111.0414,35.1147
111.1406,37.5211
111.19,34.7822
111.1928,34.7772
111.3009,30.7157
111.3296,30.7819
111.3549,30.6463
111.4503,27.2537
111.4733,27.2317
111.5025,36.0875
111.5028,36.0714
111.5169,36.0822
111.5239,27.3033
111.5531,36.0783
111.5989,26.4519
111.5992,26.4364
111.6156,26.4214
111.6217,26.2081
111.6236,26.2331
111.6975,28.9703
111.7153,29.0289
111.9892,27.7044
111.9975,27.725
112.0194,27.7314
112.0369,22.9394
112.0392,22.9169
112.0539,22.9539
112.1392,32.0564
112.155,32.0197
112.1969,30.9892
112.2014,31.0483
112.2068,30.3515
112.2106,32.0903
112.2211,31.0386
112.2551,30.3175
112.3347,28.6047
112.3439,28.56
112.3628,34.6692
112.3744,28.5819
112.3844,34.6231
112.3939,34.6511
112.4067,28.6428
112.427,23.0706
112.4275,34.6258
112.434,38.0108
112.4664,34.6869
112.469,37.7124
112.471,23.0528
112.4783,37.7778
112.4831,34.6869
112.4876,27.9164
112.522,37.8873
112.5369,37.8692
112.565,23.1617
112.5664,26.9056
112.57,37.8195
112.6194,26.9258
112.6197,26.8733
112.6211,26.8956
112.7105,37.7087
112.7306,37.7111
112.7383,38.4519
112.7549,37.7019
112.8252,35.4813
112.844,22.8693
112.8564,35.4883
112.863,23.1886
112.8664,35.4894
112.885,23.1572
112.8908,28.1308
112.9074,27.9119
112.9118,27.8403
112.9227,27.8159
112.9433,27.8614
112.9792,28.2597
112.9844,28.1178
112.9943,29.4402
113.0014,28.1944
113.0073,25.9061
113.0219,22.5311
113.0348,25.7759
113.0425,23.6936
113.074,22.5811
113.0819,22.5931
113.0844444,36.1855
113.0886,36.2126
113.095,27.8867
113.0972,36.1939
113.104,22.6069
113.105,23.0395
113.1094,29.3578
113.1097,36.1542
113.134,23.0048
113.135,27.8244
113.143,27.8381
113.1493,29.4251
113.167,27.8667
113.1772,29.3678
113.215,23.3917
113.227,35.213
113.235,23.1422
113.251,27.8336
113.257,22.7629
113.26,23.1331
113.2621,29.4758
113.281,23.1569
113.292,22.8054
113.348,23.0916
113.352,22.9477
113.3583,31.7275
113.3769,22.5211
113.3833,31.6908
113.3881,22.5497
113.4075,22.5111
113.4411,22.4853
113.4922,37.8792
113.495,22.2294
113.568,23.2783
113.574,22.2611
113.7383333,22.96583333
113.7480556,23.06
113.7944444,23.01277778
113.8381,27.6428
113.865,27.6178
113.8686,27.6442
113.891,22.5794
113.9153,30.9285
113.9181,22.5171
113.987,22.5417
114.0122,32.1403
114.0614,32.1383
114.085,22.75
114.1044,32.1078
114.1063,22.5545
114.117,22.5625
114.24,22.7267
114.263,22.5908
114.2878,35.7306
114.2894,29.8539
114.2956,35.7511
114.3006,30.5494
114.3231,29.8211
114.3372,29.8686
114.3442,27.8036
114.3541,37.9097
114.358,36.087
114.3672,30.5719
114.3922,36.0878
114.4011,27.8072
114.41,22.6342
114.4183,23.0528
114.4586111,38.00583333
114.4821,37.0967
114.494,22.5422
114.4965,36.61981
114.5019,38.1398
114.5035,36.5776
114.5214,38.0524
114.5317,22.7422
114.5426,36.6164
114.8131,30.4133
114.8792,40.7903
114.8814,40.8115
114.8878,30.3944
114.8985,40.8367
114.8989,30.3714
114.9032,40.7688
114.9064,25.9118
114.9314,27.8036
114.9322,25.8333
