n,Gender,Zodiac,Height,Weight,Shoe,Hometown,Suzhou,Temperature
1,F,Scorpio,168,62,38,2,yes,36.6
2,F,Cancer,150,46,35,2,Yes,36.4
3,F,Arise,163,54,36,1,hard to say,36.5
4,Female,LEO,158,53,37,2,YES,36.1
5,Male,Sagittarius,175,70.2,42.5,1,very much,36.4
6,Male,Tauvus,177,75,42,2,very much,36
10,Female,Libra,173,60,39,1,Yes,36.8
11,male,aries,176,58,41,1,yes,36.6
15,Female ,NA,170,NA,39,2,very much,36.6
16,Female,Wen,174,53,38,2,very much,36.4
17,female,leo,173,51,38.5,2,yes,36.3
18,Female,Aries ,163,54,36,1,NA,36.5
19,female,sagittarius,175,95,41,2,yes,36.2
20,Female,Cancer,150,46,35,2,Yes,36.4
23,Female,Gemini,170,59,37,2,Yes,36.5
24,Female,Gemini,172,59,39,2,Yes,36.4
25,Male,Gemini,177,73,41,1,NA,36.2
28,male,Taurus,175,80,43,2,YES,36.5
29,F,NA,168,50,48,1,yes,36.5
30,F,Aries,166,65,38,2,yes,36.8
31,Female,Cancer,161,47,37,1,YES,36.2
32,Female,Tiger,158,45,35,XiangTang,Yes,36.7
33,Female,Virgo,169,NA,39,1,Yes,36.4
34,Female,Virgo,165,50,37,1,Yes,NA
35,Male,Cancer,174,71,43,1,YES,36.5
36,Female,Leo,166,NA,NA,1,Yes,NA
37,F,Virgo,170,60,38,2,yes,36.4
39,female,gemini,165,58,37,1,yes,36.5
40,female,capricorn,155,45,36,2,yes,36.5
41,F,Taurus,174,59,39,1,yes,36.4
42,F,Capricom,165,70,37,2,yes,36.5
45,female,Taurus,165,53,37,2,yes,36
47,F,Sagittarius,165,55,38,1,Hard to say,36.5
48,F,Sagittarius,158,46,35,1,yes,36.5
50,F,Aries,168,50,37.5,1,yes,36.5
52,Male,Scorpio,182,68,43,1,YES,36.2
53,Female,Sagittarious,163,50.5,36,1,Hard to say,NA
54,F,Pisces,162,65,36,1,yes,36.3
55,female,cancer,168,56,38,1,yes,36
58,Male,sagittarius,175,70,42.5,1,very much,36.4
59,Male,Leo,176,68,41,2,yes,36.5
